,dist_img,ref_img,dmos,var,distortion,intensity
0,I01_01_01.png,I01.png,4.57,0.496,01,01
1,I01_01_02.png,I01.png,4.33,0.869,01,02
2,I01_01_03.png,I01.png,2.67,0.789,01,03
3,I01_01_04.png,I01.png,1.67,0.596,01,04
4,I01_01_05.png,I01.png,1.1,0.3,01,05
5,I01_02_01.png,I01.png,3.83,0.86,02,01
6,I01_02_02.png,I01.png,2.27,0.772,02,02
7,I01_02_03.png,I01.png,1.53,0.67,02,03
8,I01_02_04.png,I01.png,1.23,0.418,02,04
9,I01_02_05.png,I01.png,1.2,0.4,02,05
10,I01_03_01.png,I01.png,4.73,0.442,03,01
11,I01_03_02.png,I01.png,3.97,0.657,03,02
12,I01_03_03.png,I01.png,2.7,0.936,03,03
13,I01_03_04.png,I01.png,2.03,0.795,03,04
14,I01_03_05.png,I01.png,1.5,0.5,03,05
15,I01_04_01.png,I01.png,4.73,0.512,04,01
16,I01_04_02.png,I01.png,2.17,1.035,04,02
17,I01_04_03.png,I01.png,1.37,0.547,04,03
18,I01_04_04.png,I01.png,1.5,0.619,04,04
19,I01_04_05.png,I01.png,1.47,0.806,04,05
20,I01_05_01.png,I01.png,4.0,0.856,05,01
21,I01_05_02.png,I01.png,2.2,0.909,05,02
22,I01_05_03.png,I01.png,1.57,0.559,05,03
23,I01_05_04.png,I01.png,1.33,0.537,05,04
24,I01_05_05.png,I01.png,1.6,0.611,05,05
25,I01_06_01.png,I01.png,4.23,0.761,06,01
26,I01_06_02.png,I01.png,4.4,0.554,06,02
27,I01_06_03.png,I01.png,3.9,0.943,06,03
28,I01_06_04.png,I01.png,2.9,0.831,06,04
29,I01_06_05.png,I01.png,2.27,0.929,06,05
30,I01_07_01.png,I01.png,2.73,1.123,07,01
31,I01_07_02.png,I01.png,2.5,1.025,07,02
32,I01_07_03.png,I01.png,2.27,1.062,07,03
33,I01_07_04.png,I01.png,2.47,1.147,07,04
34,I01_07_05.png,I01.png,2.2,0.945,07,05
35,I01_08_01.png,I01.png,4.7,0.458,08,01
36,I01_08_02.png,I01.png,3.77,0.616,08,02
37,I01_08_03.png,I01.png,2.73,1.062,08,03
38,I01_08_04.png,I01.png,1.97,0.912,08,04
39,I01_08_05.png,I01.png,1.67,0.699,08,05
40,I01_09_01.png,I01.png,4.6,0.49,09,01
41,I01_09_02.png,I01.png,4.67,0.537,09,02
42,I01_09_03.png,I01.png,4.4,0.611,09,03
43,I01_09_04.png,I01.png,2.9,1.044,09,04
44,I01_09_05.png,I01.png,1.37,0.547,09,05
45,I01_10_01.png,I01.png,4.37,0.657,10,01
46,I01_10_02.png,I01.png,3.93,0.854,10,02
47,I01_10_03.png,I01.png,3.77,0.803,10,03
48,I01_10_04.png,I01.png,1.58,0.555,10,04
49,I01_10_05.png,I01.png,1.17,0.373,10,05
50,I01_11_01.png,I01.png,4.03,0.948,11,01
51,I01_11_02.png,I01.png,3.27,0.814,11,02
52,I01_11_03.png,I01.png,2.67,0.745,11,03
53,I01_11_04.png,I01.png,2.27,0.772,11,04
54,I01_11_05.png,I01.png,2.37,0.752,11,05
55,I01_12_01.png,I01.png,4.43,0.559,12,01
56,I01_12_02.png,I01.png,3.7,0.69,12,02
