mos,std
5.9706,0.10593
5.4167,0.13249
4.5556,0.12073
4.3143,0.09707
6.1429,0.1408
5.7941,0.11601
5.4444,0.1329
4.9143,0.13013
4.8056,0.12922
4.0286,0.1029
3.5278,0.0832
2.75,0.11369
6.0286,0.17373
5.9714,0.18288
5.7429,0.12995
4.8286,0.11055
5.8571,0.1153
5.6111,0.12594
4.8571,0.10015
3.5429,0.12351
4.4706,0.1264
4.2286,0.09968
4.0294,0.12116
3.3056,0.09477
4.7778,0.13095
4.1111,0.14581
3.2,0.10537
2.1667,0.16897
4.7353,0.13355
3.9143,0.12369
3.2778,0.13386
2.1765,0.10581
5.7143,0.13745
4.9143,0.15842
3.0,0.09623
1.2,0.11285
5.9444,0.15186
5.1667,0.14959
3.3056,0.14065
1.4571,0.14196
5.8,0.15545
5.1667,0.15957
3.5556,0.11416
1.0,0.13997
6.4242,0.12878
4.3056,0.13506
4.1111,0.17023
3.3889,0.14844
4.1714,0.1029
3.8235,0.08795
3.5143,0.12369
3.1765,0.09729
6.3429,0.15619
6.3429,0.14537
5.6944,0.16583
4.6111,0.16795
2.5143,0.10199
2.9706,0.1138
3.8571,0.12868
4.2778,0.15016
5.9412,0.1712
5.6286,0.22163
5.8889,0.23167
4.8571,0.14648
6.5,0.18634
4.9714,0.14278
6.1944,0.27165
3.9722,0.14952
6.3,0.12605
5.6563,0.137
4.9375,0.10769
4.0645,0.11114
6.1724,0.13852
6.4688,0.14647
5.4839,0.14333
5.0313,0.11254
4.8387,0.11264
4.0333,0.11039
3.6452,0.08593
3.0938,0.10231
6.1935,0.14001
6.0,0.11547
5.2813,0.14813
4.5484,0.14309
7.0,0.16536
5.8065,0.13237
4.875,0.11482
3.5,0.13975
4.5938,0.13154
4.2188,0.11469
4.0,0.11693
3.5,0.125
5.7188,0.14813
4.2581,0.14403
3.6452,0.14817
2.9063,0.16153
5.6774,0.10588
4.7097,0.13832
4.0,0.10201
3.125,0.08558
5.6875,0.14278
4.9063,0.11145
3.9032,0.0952
2.2258,0.10901
6.125,0.18087
5.8065,0.13237
3.4375,0.13212
2.5625,0.1164
5.0625,0.15269
2.9355,0.0905
1.2333,0.07722
0.0,0.0
4.5161,0.15718
3.3226,0.11529
2.8125,0.10305
1.871,0.10932
4.3548,0.11674
3.7333,0.1047
2.7188,0.11887
3.6774,0.10588
6.2581,0.17649
5.5625,0.13932
5.1875,0.14946
4.1563,0.16001
3.25,0.13975
3.6875,0.162
4.125,0.16973
4.4194,0.15654
6.2813,0.23063
5.5,0.19861
5.4063,0.20184
5.1333,0.19283
6.5313,0.23379
5.2188,0.15771
5.1333,0.15444
4.2188,0.13789
5.5,0.13123
5.0667,0.11483
4.6207,0.0901
4.2414,0.11597
6.3333,0.13608
5.7,0.13458
5.3214,0.10169
4.9655,0.10325
4.3793,0.11347
3.9655,0.11419
3.6,0.12111
3.069,0.11876
6.2333,0.15408
5.4667,0.12232
4.9333,0.11483
4.1429,0.12074
6.3667,0.14517
5.6,0.14606
4.9,0.1278
3.8333,0.13403
4.8966,0.11274
4.5517,0.09235
4.0357,0.10693
3.9,0.10904
4.6897,0.11017
4.0,0.12472
3.8333,0.14207
3.6207,0.13278
5.7931,0.07522
5.2414,0.07946
4.0,0.10541
3.069,0.11876
6.931,0.10829
5.5333,0.15444
4.0345,0.10325
2.1786,0.08826
6.3929,0.14586
5.4138,0.09146
3.1667,0.11627
2.2667,0.1047
4.1379,0.12645
2.8667,0.16822
1.1379,0.08049
0.1667,0.06804
4.3667,0.1373
3.1333,0.09108
3.1333,0.09108
2.3333,0.08607
3.8,0.11926
3.9667,0.09981
3.3448,0.12217
2.4333,0.14669
6.0345,0.14203
5.1,0.19636
4.2069,0.12317
3.2,0.11926
3.069,0.14574
4.2333,0.18064
4.3,0.21161
4.7931,0.17158
6.6,0.21396
6.4333,0.16788
6.4828,0.14318
5.7586,0.17348
7.2,0.15916
5.5333,0.13109
7.0667,0.18817
4.5333,0.15444
5.4286,0.12313
4.9429,0.11388
4.6176,0.08334
4.1429,0.09163
6.2857,0.12501
5.6765,0.13619
5.1471,0.103
4.6471,0.08196
4.4412,0.11154
3.9143,0.09365
3.3529,0.11678
3.1176,0.1159
6.2,0.10537
6.2424,0.10524
5.6286,0.12179
4.9714,0.1177
6.1176,0.10818
5.3235,0.09948
4.5152,0.087
4.0588,0.10138
4.7941,0.09999
4.4118,0.10288
4.0286,0.08558
3.7647,0.10238
4.0588,0.10138
3.6765,0.09948
3.1212,0.1114
2.8235,0.10581
6.2121,0.07116
5.5714,0.14163
4.9394,0.09524
3.7059,0.1284
6.1471,0.11108
5.4286,0.11631
4.0588,0.10959
2.6286,0.09968
6.1471,0.15073
5.2857,0.09537
3.1765,0.09729
1.8235,0.11369
3.8182,0.11701
2.8286,0.1177
1.7714,0.1149
0.0606,0.04154
4.8857,0.1553
4.3429,0.12083
3.0286,0.11055
2.5882,0.1323
3.8571,0.09163
3.2857,0.09537
3.7143,0.1183
2.5152,0.087
6.2941,0.16911
6.1143,0.12631
4.5294,0.11936
3.7647,0.13192
2.4118,0.16699
3.4706,0.18711
4.0857,0.17784
4.5714,0.19075
6.3333,0.14638
6.2571,0.13608
5.6857,0.13261
5.7714,0.1983
7.2059,0.15991
5.1765,0.09729
7.7143,0.21598
4.3235,0.13619
5.8788,0.15895
5.0323,0.1248
4.5152,0.13634
3.8387,0.10299
5.5938,0.13877
5.9697,0.16864
5.2424,0.14233
4.7742,0.08787
4.6061,0.12813
3.8182,0.10888
3.5938,0.13154
2.7813,0.09616
6.0,0.13258
5.625,0.138
5.4375,0.16499
4.6875,0.12053
6.0606,0.16
5.3636,0.13428
4.3333,0.10202
3.1563,0.11784
4.3939,0.14174
3.9394,0.12075
3.5938,0.13877
3.0323,0.10683
5.5758,0.12144
4.8182,0.17904
3.7813,0.11469
3.0909,0.15666
4.875,0.08558
3.8485,0.09698
